graph_index,graph,n,initialization,editsWeight,usedIterations,actualPlateau,time,solved,solution_cost,time_exact,ratio
2581,bio-nr-2581-size-14,14,random_insert,594,0,0,0.17277104780077934,True,594,0.0028858340000000003,1.0
2582,bio-nr-2582-size-9,9,trivial,0,2,0,0.1659998670220375,True,0,0.000243204,1.0
2583,bio-nr-2583-size-8,8,trivial,84,2,0,0.1328759826719761,True,84,0.000872763,1.0
2584,bio-nr-2584-size-5,5,trivial,0,2,0,0.1303579192608595,True,0,0.000182003,1.0
2585,bio-nr-2585-size-7,7,trivial,491,2,0,0.14721299521625042,True,491,0.0007914780000000001,1.0
2586,bio-nr-2586-size-10,10,trivial,603,2,0,0.1689358614385128,True,603,0.00101646,1.0
2587,bio-nr-2587-size-11,11,trivial,0,3,0,0.21249102428555489,True,0,0.000278515,1.0
2588,bio-nr-2588-size-3,3,trivial,0,2,0,0.13562594540417194,True,0,0.00017429700000000002,1.0
2589,bio-nr-2589-size-4,4,trivial,0,2,0,0.124666141346097,True,0,0.000215713,1.0
2590,bio-nr-2590-size-4,4,trivial,0,2,0,0.1300869043916464,True,0,0.000208285,1.0
2591,bio-nr-2591-size-7,7,trivial,275,2,0,0.146765960380435,True,275,0.0015191710000000001,1.0
2592,bio-nr-2592-size-3,3,trivial,0,2,0,0.1208100002259016,True,0,0.000222257,1.0
2593,bio-nr-2593-size-4,4,trivial,156,3,0,0.1620200928300619,True,156,0.00063369,1.0
2594,bio-nr-2594-size-7,7,trivial,95,2,0,0.1302710734307766,True,95,0.000761509,1.0
2595,bio-nr-2595-size-10,10,trivial,215,4,0,0.20915712229907515,True,215,0.0008610019999999999,1.0
2596,bio-nr-2596-size-4,4,trivial,0,2,0,0.12731598690152168,True,0,0.00022664400000000002,1.0
2597,bio-nr-2597-size-18,18,trivial,1399,4,0,0.27858791872859,True,1399,0.015636208000000002,1.0
2598,bio-nr-2598-size-36,36,trivial,15310,5,0,0.890849158167839,True,15310,0.5801821389999999,1.0
2599,bio-nr-2599-size-5,5,trivial,0,2,0,0.13584992848336694,True,0,0.000230903,1.0
2600,bio-nr-2600-size-24,24,trivial,2429,3,0,0.3007210325449705,True,2429,0.007822975,1.0
2601,bio-nr-2601-size-5,5,trivial,4,2,0,0.13292115181684494,True,4,0.00070457,1.0
2602,bio-nr-2602-size-18,18,trivial,423,3,0,0.2314459998160601,True,423,0.001477385,1.0
2603,bio-nr-2603-size-18,18,trivial,626,3,0,0.2683761995285749,True,626,0.00139949,1.0
2604,bio-nr-2604-size-11,11,trivial,311,3,0,0.20221900194883347,True,311,0.0009335130000000001,1.0
2605,bio-nr-2605-size-7,7,trivial,32,3,0,24.46084888651967,True,32,0.000780883,1.0
2606,bio-nr-2606-size-16,16,trivial,131,2,0,34.98487314209342,True,131,0.00097166,1.0
